IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.17.101.76,4,4,0.00,57.58,33.87
104.17.18.38,4,4,0.00,57.65,32.87
104.17.117.30,4,4,0.00,56.09,31.58
104.17.28.64,4,4,0.00,57.46,29.81
104.16.152.106,4,4,0.00,57.04,29.40
172.64.144.83,4,4,0.00,57.56,29.13
104.19.156.137,4,4,0.00,57.62,26.93
104.19.42.33,4,4,0.00,55.87,26.56
104.19.145.100,4,4,0.00,57.45,26.19
104.19.55.63,4,4,0.00,57.48,24.94
